,Name,Age,Tm,wOBA,wRAA,BA,SLG,OBP,BAbip,SB,HR,BB,1B,2B,3B,SO,Reliability,bat_WAR
0,Gabe Holt,26,GAT,0.43274105464695967,11.846757501699901,0.3747305394512065,0.524522050501815,0.4534928654174674,0.4006563442562664,19,5,26,61,12,1,26,0.565,1.18467575016999
1,Carson McCusker,26,TRC,0.46021519740925854,12.772988674914341,0.36629261931454193,0.6613241175528506,0.43089578715566945,0.39570192869904036,2,14,22,44,12,0,38,0.73,1.277298867491434
2,James Nelson,26,NJJ,0.5031921296296297,46.83164984187462,0.388,0.714,0.482,0.46638655462184875,29,26,46,74,20,1,84,1.0,4.683164984187462
3,Peter Zimmermann,26,GAT,0.46472841689223315,24.962415097936592,0.348412655616058,0.6330800571215033,0.46056438794576127,0.3874166125706438,11,18,44,52,16,0,56,0.8049999999999999,2.496241509793659
4,Tyler Wilber,26,TRI,0.37680836858457767,1.1051929847434128,0.317966818857214,0.4743874929710299,0.39781025833689226,0.36356822521592563,2,4,20,39,10,1,33,0.36750000000000005,0.11051929847434128
5,Jairus Richards,27,GAT,0.457442542787286,28.937935068523146,0.34,0.525,0.472,0.39166666666666666,66,14,59,73,8,0,61,1.0,2.8937935068523144
6,Andrew Penner,29,GAT,0.3693013123852973,-1.756342468078571,0.3095555555555556,0.4372222222222223,0.395,0.36938995215311005,11,7,37,80,16,2,70,1.0,-0.1756342468078571
7,Jamey Smart,28,OTT,0.4076064999485673,9.348499746266018,0.33999999999999997,0.469125,0.453,0.39925226288862653,4,6,58,76,18,0,57,1.0,0.9348499746266018
8,Kokko Figueiredo,26,SCH,0.3852734316300153,2.2584533748665665,0.3108869571677699,0.4735732541462025,0.4045622036265927,0.35420686789252875,5,5,24,37,11,0,34,0.395,0.22584533748665664
9,Chase Dawson,27,SCH,0.3907005784899408,7.3894531719673795,0.31966666666666665,0.48991666666666667,0.3875,0.3414702632487098,34,5,35,82,19,13,40,1.0,0.738945317196738
10,Craig Massey,35,FLR,0.37231354063510924,0.21172270861018538,0.3155555555555556,0.4415555555555556,0.40022222222222226,0.33963461625640323,9,5,35,60,14,1,28,1.0,0.021172270861018538
11,Edwin Mateo,25,SSX,0.3692307692307692,-1.2713612241551173,0.323,0.419,0.394,0.3853503184713376,33,6,33,91,13,0,65,1.0,-0.12713612241551173
12,Oscar Campos,27,TRC,0.3555669849828663,-2.2361813153210948,0.31562500000000004,0.49325,0.34575,0.30429305695989217,2,6,9,42,13,0,12,1.0,-0.22361813153210947
13,Noah Myers,24,EVN,0.4445300925925925,25.962529008596718,0.322,0.568,0.438,0.38247011952191234,36,15,56,59,20,4,77,1.0,2.596252900859672
14,Oraj Anu,25,SSX,0.401035802382238,9.221275736582339,0.3203248616894441,0.5525017388248274,0.3905930547102997,0.38288347811181345,1,17,29,63,18,0,82,0.9725,0.9221275736582338
15,Nate Scantlin,25,TRI,0.3584630541871921,-4.849913614731509,0.321,0.449,0.372,0.36421725239616615,13,5,24,78,19,3,49,1.0,-0.4849913614731509
16,Ruben Castro,27,QUE,0.36517748133963657,2.2283816335366913,0.3159166666666667,0.42591666666666667,0.4043333333333333,0.3570831045522332,11,4,32,60,12,0,38,1.0,0.22283816335366913
