,Name,Age,Tm,ERA,FIP,IP,K,BB,HR,K%,BB%,HR%,Reliability
0,Cole Cook,26.0,JOL,2.6260000000000003,2.495508486672329,131.37032,124,28,4,0.22440486984097535,0.03893426895455293,0.005740238600279168,1.0
1,Joey Gonzalez,27.0,GAT,4.518000000000001,4.557264987644017,111.03332,111,45,17,0.22807843137254902,0.06355882352941176,0.03168627450980392,1.0
2,Turner Larkins,28.0,JOL,4.12,3.7181470148555222,103.36799999999998,73,28,6,0.1514360313315927,0.02349869451697128,0.015665796344647518,1.0
3,Collin Sullivan,26.0,GAT,2.69,2.851605234655704,101.3796,123,32,7,0.30151843817787416,0.0368763557483731,0.021691973969631236,1.0
4,Steven Fuentes,27.0,QUE,2.498817134502924,3.95370176128219,90.136,58,32,5,0.15051025139281032,0.07157109703833782,0.01449448846837669,0.92
5,Tim Holdgrafer,27.0,EVN,2.8499999999999996,2.6779812711493207,107.9853,94,18,3,0.21573359587036348,0.027139322015858655,0.009809217178436486,1.0
6,Ruben Ramirez,25.0,QUE,4.550786920321638,4.443101076951857,91.10789999999999,87,35,12,0.22392329245705958,0.07647988699830228,0.027026590615066202,0.9209999999999999
7,Lukas Veinbergs,27.0,GAT,3.972,3.6035034024050656,103.44291999999999,91,29,9,0.19457268139323242,0.051460246545875735,0.020749565649044427,1.0
8,Garrett Christman,28.0,WCT,3.674,3.5801133928471227,122.21259999999998,92,30,9,0.17059314954051796,0.04928989139515455,0.018170426065162906,1.0
9,Osman Gutierrez,29.0,TRI,5.1,4.121474974889507,107.7437020810515,114,48,13,0.23272731067880104,0.08418635718460382,0.024820489271102947,1.0
10,Grant Larson,27.0,OTT,3.4939999999999998,2.8150504093279096,113.87971999999999,96,22,4,0.20777403472402176,0.019765981621384578,0.010227839017680946,1.0
11,Dwayne Marshall,26.0,TRC,4.778333333333333,4.696212840457715,95.71759999999999,75,47,10,0.16404364586891113,0.0736872044267059,0.01583682079877829,1.0
12,Edgar Martinez,26.0,FLR,5.613333333333333,4.542056781827335,110.0216,111,58,13,0.21747854870893352,0.08092058275778699,0.028775036385277054,1.0
13,Jhon Vargas,27.0,TRC,3.7348021418128656,3.751653858158855,94.28699999999999,100,40,8,0.2633720023881183,0.015229259811011033,0.02344408402286207,0.99
14,Aaron Dona,24.0,RKL,3.2376685380116954,3.407866000562193,77.056,85,29,6,0.20661375383913963,0.052820184920094965,0.006984882279973268,0.6799999999999999
15,Kobe Foster,26.0,WST,1.996,3.1311567547537598,103.52519999999998,90,24,6,0.21033792240300375,0.04121818940342094,0.01934918648310388,1.0
16,Nate Garkow,26.0,GAT,4.0170033019005835,3.7134090256018624,63.831599999999995,69,24,6,0.24134474241234266,0.06350073759901706,0.020920017847439017,0.471
17,Elijah Gill,25.0,TRC,5.833110975146199,5.928609885474859,81.5838,65,50,14,0.16883471424214125,0.06566260838096599,0.027105549326720536,0.762
18,Harley Gollert,25.0,QUE,3.6907006652046777,4.2479686501121945,67.687,57,22,8,0.19607170957192602,0.06549990522207913,0.026250425159055565,0.53
19,Justin Goossen-Brown,28.0,WST,3.8213973713450287,3.534822027878196,62.068,56,25,3,0.2432189105923838,0.03907956667566262,0.01196161090445422,0.45200000000000007
20,Frank Moscatiello,28.0,QUE,2.3916666666666666,3.174452426482077,68.8648,104,37,6,0.3633009379173954,0.1083659870270749,0.02817810837336639,1.0
21,Luis Pérez,29.0,SCH,4.71,3.6392918746686065,91.45673603504929,87,28,8,0.20863309352517986,0.04316546762589928,0.016786570743405275,1.0
22,Abdiel Saldana,28.0,QUE,2.265356905701754,3.4971968831985247,81.479,67,22,6,0.1977964555152906,0.04805526373520117,0.009770694145819965,0.7809999999999999
23,Logan Schmitt,25.0,SCHWCT,4.323127843567251,4.203735977798857,88.053,79,36,8,0.24012306198694638,0.044780904205421225,0.03834781250787179,0.87
24,Justin Showalter,25.0,WST,4.416,3.8103347793097693,94.66596000000001,55,24,6,0.13146914004351312,0.04954998282377189,0.013264628420932099,1.0
25,Tucker Smith,26.0,TRI,3.89,4.024568323432003,103.1676,77,13,13,0.16741071428571427,0.022321428571428572,0.029017857142857144,1.0
26,Tyler Thornton,28.0,SSX,3.545,4.046821418266461,97.94,75,40,7,0.17085264133456907,0.08061476675934508,0.01655854185974668,1.0
27,Justin Watland,28.0,EVN,5.856,5.4039501271463335,102.02279999999999,97,52,18,0.19734153749063227,0.06640160927700864,0.0377012582337396,1.0
28,Griffin Baker,26.0,SSX,5.948,5.95308795461942,81.652,69,31,19,0.21062001227747082,0.06698895027624309,0.043186003683241256,1.0
29,John Baker,26.0,NJJ,4.374,3.418237119369572,107.29192,120,31,12,0.2355416449313163,0.042531733611545816,0.02138758476786646,1.0
30,Chris Burica,26.0,OTT,5.776,4.419623101761254,90.19864,81,30,12,0.18814940279765208,0.036938936424962765,0.026411237333177583,1.0
31,Dylan Castaneda,22.0,NJJ,5.372818353070175,5.429073703738522,94.9088,76,52,14,0.1433346316511552,0.0414143758662823,0.024997011171087827,0.961
32,Nick Garcia,27.0,TRI,4.721757614766082,4.877231099715192,78.9283,53,26,11,0.1443355554010872,0.054518565380479,0.030164718026119145,0.7309999999999999
33,Andy Hammond,27.0,RKL,5.33,4.431163001104206,89.13976,56,26,9,0.13963968731671128,0.03989666950781652,0.02428194697540744,1.0
34,Dawson Lane,25.0,RKL,4.683096381578947,4.4759549635055285,68.88499999999999,59,32,7,0.18574607591778794,0.04662832997780424,0.02193702815114633,0.55
